#{"t_start": 1788770421.7760046, "env_id": "Hopper-v2"}
r,l,t
17.279791,20,6.991526
18.045048,21,7.034067
17.253918,20,7.067105
17.982755,21,7.101806
17.968266,21,7.140085
18.016153,21,7.176627
18.044406,21,7.215643
17.893711,21,7.255021
18.011907,21,7.437492
17.964494,21,7.4711610968.783792,42,143.042571
67.083394,41,143.104151
67.040405,41,143.164371
69.105712,42,143.224982
70.976731,43,143.289367
68.880534,42,143.359844
69.200917,42,143.420946
69.259192,42,143.478192
67.133461,41,143.538577
68.966278,42,143.614864
286.580643,111,279.490202
402.993307,139,279.705954
226.527153,99,279.865182
191.800607,86,279.991565
188.589172,85,280.112263
182.863184,83,280.234622
254.277382,104,280.390676
185.117638,84,280.512861
405.853236,140,280.72102
189.274007,85,2192.30438,1244.366391,131,416.920833
239.041857,129,417.106623
241.992707,130,417.329413
240.899907,130,417.518838
248.309766,130,417.70862
242.276647,131,417.904683
244.322684,130,418.265773
238.369756,129,418.493828
239.746804,130,418.681013
238.9384312.621681,34,544.9222.834882,127,553.826059
205.357657,123,554.0045
191.938704,118,554.167396
211.653298,124,554.345211
220.112438,125,554.512141
218.599962,126,554.692019
218.903984,126,554.861395
223.78785,126,555.046459
119.442667,97,55837.921875,16,681.588592
8.107241,15128.499843,84,689.352425
192.356719,119,689.52279
135.689401,87,689.655128
183.329618,115,689.821976
134.163739,85,689.945359
129.492274,83,690.070758
129.894143,84,690.190766
130.809065,85,6908.660817,16,817.029327
7.784736,14,817.051133
7.659881,14,86.393411,21,826.621897
6.357795,20,826.653824
6.631261,20,826.684988
6.975119,21,826.728154
5.72858,22,826.766085
6.15551,20,826.805319
6.764377,20,826.841617
6.006833,2011.21255,32,952.87084
10.488096,32,952.919992
11.40653,450.553323,179,962.278531
368.402597,182,962.520223
369.070127,182,962.768019
365.504495,178,963.016838
455.906979,179,963.262668
454.950257,176,963.550076
378.428775,184,963.82028399.681731,158,1089.905302
381.523567,143,1090.102628
510.656966,175,1090.34724190.478389,100,1100.539565
276.523954,137,1100.744197
185.519638,98,1100.896394
274.505652,137,1101.0902
193.895368,100,1101.236111
190.502206,100,1101.380145
193.286949,100,1101.517365
16887.239202,50,1226.904265
93.692529,52,1226.981062
93.963314,52,1227.062925
969.117503,42,1237.302764
65.470097,40,1237.359915
65.72733,40,1237.411951
67.238974,41,1237.470973
67.544477,41,1237.530128
65.301222,40,1237.589523
67.030239,41,1237.648733
69.166.588475,77,1364.773506
163.836509,77,1364.887688
161.671437,76,1365.01397.148983,158,1374.443331
278.544692,138,1374.632784
348.303432,160,1374.856341
272.483044,136,1375.052155
408.902458,157,1375.279868
447.67066,169,1375.516473
225.832398,100,1375.660956
426.906281,181,1502.833212
380.231182,160,1503.04995
395.623515,163,1503.282424
224.073301,99,1512.325581
223.740455,99,1512.469116
367.177606,158,1512.694746
225.038389,100,1512.851658
222.503834,98,1513.003895
224.489939,99,1513.157309
221.722483,98,1513.307744
224.518.436297,181,1640.89415
531.499778,188,1641.151218
524.569965,185,1641.4134.724627,43,1649.338562
223.928178,99,1649.480479
226.067835,101,1649.62502
184.104777,96,1649.755907
37.991057,45,1649.824808
34.829392,44,1649.889009
36.761356,44,1649.952489
178.500572,87,161962.860085,315,1779.660444
647.774099,228,1779.973367
1369.86.540777,15,1786.328756
5.601944,16,1786.354729
6.369405,15,1786.381094
6.128494,15,1786.405809
6.400146,15,1786.429675
6.057262,15,1786.457143
6.54112,15,1786.479742
6.15299,15,1786.504175
6.29249,15345.9584520.339554,182,1920.18921
10546.041909,13,1921.220913
5.860678,13,1921.245277
5.519265,14,1921.272138
5.973687,13,1921.296521
5.314705,14,1921.321782
5.484814,14,1921.346067
5.501493,14,1921.371873
5.763744,14,1921.396664
6.237069,13,1921.420685
5.628422346.195186,131,326.056054,13,2057.210592
6.113121,13,2057.232163
6.509588,13,2057.252476
5.98193,13,2057.275112
5.779851,13,2057.29617
6.439002,13,2057.317005
6.363784,13,2057.338664
6.234299,13,2057.359131
6.233154,13,2057.380116
6.478888,13,2057.406995
7.185631,13,2192.853828
6.985644,13,2192.878204
7.125653,13,2192.902424
6.907831,13,2192.925527
7.103155,13,2192.946817
6.757095,13,2192.971877
6.868126,13,2192.997915
7.040745,13,2193.023684
6.618164,13,2193.0494
7.102518,13,2193.072166
510.254409,177,2330.100821
427.603431,154,2330.316237
420.595344,153,2330.532256
420.662735,151,2330.744793
512.320013,178,2331.01889
426.069904,151,2331.233778
511.367187,176,2331.484958
519.45911,182,2331.745286
424.859928,152,2331.953012
518.970135,181,2332.200425
60.388944,50,2468.492531
55.405807,47,2468.574424
420.866415,172,2468.841562
60.680211,51,2468.921332
54.055192,47,2468.99518
163.668687,76,2469.105443
64.277947,53,2469.199178
60.195567,50,2469.270949
413.859074,149,2469.489527
431.669771,150,2469.716101
455.630046,182,2606.450332
453.297899,171,2606.694193
63.123001,52,2606.771398
454.691479,181,2607.027546
425.417177,152,2607.238874
447.687101,177,2607.499079
438.110967,178,2607.750719
63.476744,52,2607.82937
202.076784,103,2607.974221
397.968252,155,2608.199926
60.331538,51,2745.415803
469.918527,199,2745.725759
63.452374,52,2745.805122
506.048299,210,2746.119917
61.093494,52,2746.202576
757.365151,280,2746.632346
78.187408,64,2746.727874
418.768997,197,2747.00612
59.366131,51,2747.082409
1479.697304,481,2747.750557
59.640024,51,2882.808885
834.320092,325,2883.245165
1254.055068,371,2883.753466
57.692859,51,2883.82295
60.406815,53,2883.897871
58.505831,50,2883.969444
1061.492133,355,2884.473571
848.774005,328,2884.916574
814.10778,268,2885.299418
822.717913,326,2885.766419
1176.336222,341,3022.848207
434.508369,152,3023.056112
694.307853,228,3023.371586
1140.59835,333,3023.840091
419.159467,149,3024.056638
65.648048,54,3024.133265
65.961958,55,3024.216807
73.701661,60,3024.306368
425.272213,169,3024.543446
946.980753,290,3024.9338
65.123139,56,3155.844573
450.076898,156,3156.063061
291.346083,108,3156.22916
283.808016,107,3156.382711
56.239914,49,3156.452493
290.48021,109,3156.606528
370.69728,133,3156.787195
426.017926,167,3157.017818
54.867937,49,3157.087699
1189.721265,343,3157.551343
448.15995,169,3290.638346
67.965852,56,3290.720175
362.421522,139,3290.916747
63.068902,53,3290.993407
65.401001,55,3291.072288
64.18077,53,3291.148962
57.364263,49,3291.222361
61.114147,51,3291.29466
73.256104,60,3291.384203
67.020856,56,3291.468662
311.892744,142,3426.218099
426.378426,167,3426.449795
367.733531,133,3426.637132
855.332558,283,3427.030046
64.535257,53,3427.105642
361.241646,136,3427.294958
373.927627,135,3427.478716
294.510403,110,3427.629756
560.322506,182,3427.877815
856.731954,264,3428.238935
442.656285,175,3563.102459
447.307846,175,3563.345886
446.686222,176,3563.594193
439.160469,173,3563.846879
489.204686,185,3564.11638
583.872476,191,3564.392133
429.963348,170,3564.645577
438.878425,171,3564.890177
582.544817,189,3565.16065
372.687546,139,3565.352654
83.538482,65,3700.454628
165.740111,77,3700.566407
212.121544,93,3700.699524
380.521084,138,3700.892678
162.958263,76,3701.005536
355.144883,135,3701.19765
162.650471,76,3701.307032
558.168334,180,3701.587473
70.307916,56,3701.681886
68.437995,55,3701.765727
361.921742,139,3838.357515
567.04784,182,3838.619894
361.721272,139,3838.82435
570.920533,182,3839.083848
170.420005,79,3839.19879
570.046834,180,3839.453807
717.073966,245,3839.788332
580.110988,186,3840.040888
699.785878,230,3840.360111
57.918716,48,3840.434393
58.065482,48,3976.463511
55.887605,46,3976.536138
58.60933,48,3976.606255
58.087187,48,3976.674908
53.930552,45,3976.741624
57.225693,47,3976.826604
433.288532,151,3977.0556
68.048943,54,3977.13875
58.641497,48,3977.211245
67.272229,54,3977.293991
217.312068,113,4113.21821
220.076487,113,4113.377867
350.835436,150,4113.595251
760.937071,257,4113.960272
448.210665,177,4114.212857
463.165963,183,4114.468282
454.454105,176,4114.714471
471.025524,187,4114.984104
908.186602,287,4115.380118
524.680694,175,4115.627383
212.386858,93,4249.951157
64.627551,52,4250.031311
63.561878,52,4250.112425
80.186012,62,4250.209987
62.198558,50,4250.289219
318.829927,115,4250.458496
213.958883,94,4250.598715
64.65335,52,4250.680478
63.915235,52,4250.757398
68.215546,54,4250.839504
59.252119,49,4385.589378
60.568179,50,4385.662559
62.501262,51,4385.755037
60.930126,50,4385.828919
60.758333,50,4385.900305
59.832188,50,4385.981285
60.617141,50,4386.054221
59.212519,50,4386.134405
61.942769,51,4386.210352
58.732756,49,4386.43169
50.770793,46,4522.310116
53.368455,47,4522.37435
56.335072,50,4522.445908
53.739178,48,4522.523731
51.950726,46,4522.592624
52.598095,47,4522.664782
53.821742,48,4522.7364
51.560242,46,4522.806443
56.142583,49,4522.878973
53.345445,48,4522.952569
53.15685,48,4657.658995
55.866519,52,4657.735745
150.801402,75,4657.849932
53.956935,49,4657.926155
143.394733,73,4658.037544
55.440472,52,4658.11839
53.966612,50,4658.194632
51.806567,47,4658.266597
83.579493,53,4658.351089
84.955289,53,4658.432394
367.919856,141,4793.208772
376.567856,143,4793.413047
371.984624,142,4793.617898
56.14963,53,4793.700724
138.387572,72,4793.815988
139.750694,73,4793.931286
364.896624,142,4794.134743
58.994509,55,4794.214179
139.545565,73,4794.318755
141.13837,73,4794.42289
372.766098,145,4929.971083
172.163609,86,4930.093096
220.221381,104,4930.240299
1383.688733,453,4930.845652
431.615444,160,4931.074166
498.975159,176,4931.325168
168.576331,86,4931.459306
364.396,146,4931.69795
367.506988,146,4931.905545
161.223484,82,4932.029591
140.517658,76,5068.647781
355.240394,144,5068.852405
358.004895,146,5069.060819
369.7223,152,5069.280119
140.892591,76,5069.393025
143.118008,77,5069.509907
351.940326,145,5069.724349
1211.926031,367,5070.227286
353.24929,144,5070.428922
138.980587,76,5070.541392
368.596263,150,5207.012026
883.619117,285,5207.399092
317.256688,133,5207.581164
371.991822,152,5207.780645
432.231149,167,5208.009676
166.094844,84,5208.129723
667.99724,229,5208.447238
508.573102,179,5208.70112
435.75074,181,5208.946749
211.690619,101,5209.087076
371.683287,154,5345.125763
727.430664,271,5345.514519
521.536526,192,5345.793796
604.739997,208,5346.118207
429.114322,171,5346.361483
739.267062,248,5346.70655
925.654229,295,5347.11196
373.217414,153,5347.324796
315.058032,137,5347.521196
372.505875,154,5347.739552
239.777083,120,5482.715218
36.262551,44,5482.785225
240.80806,121,5482.963634
241.574707,121,5483.142015
240.609947,121,5483.320793
243.348268,122,5483.508761
237.706939,119,5483.68554
36.42531,43,5483.757666
242.952542,122,5483.947055
239.898832,121,5484.130933
234.913436,116,5619.415817
238.46672,118,5619.583378
234.934482,115,5619.749092
234.597648,115,5619.915568
234.623911,115,5620.07611
236.482651,116,5620.240852
240.932701,115,5620.406288
233.761484,114,5620.568652
236.190364,116,5620.746419
207.511803,102,5620.893215
133.617571,79,5757.222869
129.662364,78,5757.33901
228.546115,111,5757.501049
129.477949,77,5757.616919
130.0802,78,5757.732094
237.370707,119,5757.905226
242.4541,124,5758.087491
237.569523,118,5758.264343
230.761637,113,5758.428417
236.458418,116,5758.600642
11.760851,15,5894.331301
11.807877,15,5894.355826
11.601797,15,5894.377677
146.012959,83,5894.498057
10.976952,14,5894.523363
12.104455,15,5894.546941
11.941309,15,5894.571792
12.847407,16,5894.600928
11.799669,15,5894.625532
149.267303,82,5894.744138
